"Filename","r-base","ms-deberta","distilb","r-large","albert","Mittelwert"
"1950_53_Seite_245.txt",0,0.3,1.2,0.1,0.6,0.4
"1950_53_Seite_260.txt",0.1,0.2,1.1,0,0.6,0.4
"1950_53_Seite_264.txt",0,0.2,1.1,0,0.5,0.4
"1950_53_Seite_261.txt",0.1,0.2,1.8,0,0.7,0.5
"1950_53_Seite_527.txt",0.1,0.2,1.5,0.1,0.6,0.5
"1950_53_Seite_535.txt",0.1,0.2,1.2,0.4,0.6,0.5
"1950_53_Seite_550.txt",0.1,0.2,1.4,0.1,0.6,0.5
"1950_53_Seite_21.txt",0.1,0.4,1.4,0.5,0.7,0.6
"1950_53_Seite_262.txt",0.1,0.2,1.8,0,0.9,0.6
"1950_53_Seite_530.txt",0.2,0.2,1.6,0.6,0.5,0.6
"1950_53_Seite_534.txt",0.1,0.2,1.7,0.3,0.5,0.6
"1950_53_Seite_539.txt",0.1,0.2,1.2,0.6,0.9,0.6
"1950_53_Seite_541.txt",0.1,0.2,1.6,0.6,0.7,0.6
"1950_53_Seite_263.txt",0.1,0.2,2.4,0,0.9,0.7
"1950_53_Seite_273.txt",0.1,0.2,2.5,0,0.5,0.7
"1950_53_Seite_274.txt",0.1,0.2,2.8,0,0.5,0.7
"1950_53_Seite_275.txt",0.1,0.2,2.6,0,0.5,0.7
"1950_53_Seite_278.txt",0.1,0.2,2.8,0,0.5,0.7
"1950_53_Seite_281.txt",0.1,0.2,2.5,0,0.5,0.7
"1950_53_Seite_289.txt",0.1,0.2,2.6,0,0.5,0.7
"1950_53_Seite_489.txt",0.1,0.5,2.3,0,0.5,0.7
"1950_53_Seite_547.txt",0.1,0.2,1.6,1.2,0.5,0.7
"1950_53_Seite_90.txt",0.2,0.2,2,0.9,0.4,0.7
"1950_53_Seite_276.txt",0.1,0.2,3.1,0,0.5,0.8
"1950_53_Seite_280.txt",0.1,0.2,2.9,0,0.5,0.8
"1950_53_Seite_282.txt",0.1,0.2,3.1,0,0.5,0.8
"1950_53_Seite_288.txt",0.1,0.2,3,0,0.5,0.8
"1950_53_Seite_536.txt",0.1,0.2,1.6,0.4,1.5,0.8
"1950_53_Seite_277.txt",0.1,0.2,3.4,0,0.5,0.9
"1950_53_Seite_279.txt",0.1,0.2,3.4,0,0.6,0.9
"1950_53_Seite_284.txt",0.1,0.2,3.7,0,0.5,0.9
"1950_53_Seite_285.txt",0.1,0.2,3.8,0,0.5,0.9
"1950_53_Seite_287.txt",0.1,0.2,3.5,0,0.5,0.9
"1950_53_Seite_283.txt",0.1,0.2,3.9,0,0.5,1
"1950_53_Seite_286.txt",0.1,0.2,4.2,0,0.6,1
"1950_53_Seite_529.txt",0.1,0.2,1.8,2.1,0.6,1
"1950_53_Seite_538.txt",0.4,0.2,2.9,0.5,1,1
"1950_53_Seite_548.txt",0.1,0.2,1.9,2.1,0.6,1
"1950_53_Seite_543.txt",0.1,0.2,1.5,3.3,0.6,1.1
"1950_53_Seite_318.txt",0.1,2.9,1.6,1.7,0.7,1.4
"1950_53_Seite_486.txt",0.1,3.9,1.2,1.2,0.8,1.4
"1950_53_Seite_317.txt",0.2,0.2,2,3.4,1.6,1.5
"1950_53_Seite_304.txt",0.1,0.2,8.1,0,0.6,1.8
"1950_53_Seite_325.txt",0.1,7.9,1.3,0.2,0.7,2
"1950_53_Seite_12.txt",3.3,0.2,5.4,2.4,5,3.3
"1950_53_Seite_549.txt",1.1,0.2,3.6,15.3,1.9,4.4
"1950_53_Seite_525.txt",0.7,0.2,1.3,20.4,0.6,4.6
"1950_53_Seite_13.txt",0.4,0.2,1.7,0.8,21.9,5
"1950_53_Seite_540.txt",0.2,0.2,2.1,35.6,0.7,7.8
"1950_53_Seite_505.txt",0.2,14.5,1.8,1.1,21.9,7.9
"1950_53_Seite_272.txt",7,0.2,27.6,1.4,5,8.2
"1950_53_Seite_49.txt",0.4,40.1,1.7,2.2,4.5,9.8
"1950_53_Seite_553.txt",0.3,0.3,44.2,0.1,5.3,10
"1950_53_Seite_524.txt",0.3,0.3,44.6,0.4,5.4,10.2
"1950_53_Seite_545.txt",0.1,0.2,1.7,48.8,0.9,10.3
"1950_53_Seite_24.txt",0.3,0.3,1.4,54.1,2.4,11.7
"1950_53_Seite_544.txt",1.3,0.2,2.5,54.2,0.5,11.8
"1950_53_Seite_528.txt",0.2,0.2,1.9,57.6,1,12.2
"1950_53_Seite_290.txt",0.1,0.2,60.3,1.2,0.9,12.5
"1950_53_Seite_504.txt",0.1,0.2,12.2,48.3,1.7,12.5
"1950_53_Seite_533.txt",2.1,0.2,1.6,67.1,0.8,14.4
"1950_53_Seite_305.txt",0.1,0.2,65.5,7.1,1.8,14.9
"1950_53_Seite_532.txt",0.1,0.2,1.8,72,0.7,15
"1950_53_Seite_80.txt",0.2,0.2,77.9,12.3,5.6,19.2
"1950_53_Seite_537.txt",1.2,0.2,2.3,92.8,0.6,19.4
"1950_53_Seite_26.txt",2,2.2,1.5,92.1,1.2,19.8
"1950_53_Seite_526.txt",0.4,0.2,2.5,97.7,0.6,20.3
"1950_53_Seite_542.txt",0.4,0.2,2.2,97.9,1.4,20.4
"1950_53_Seite_523.txt",0.8,94.9,1.8,4.3,0.8,20.5
"1950_53_Seite_337.txt",0.1,0.2,1.9,100,1.5,20.7
"1950_53_Seite_23.txt",0.2,0.3,1.5,99.9,2,20.8
"1950_53_Seite_362.txt",0.1,99.9,3.4,0.1,0.9,20.9
"1950_53_Seite_531.txt",12.2,0.2,2.9,89.1,1.2,21.1
"1950_53_Seite_6.txt",0.5,0.3,2.3,100,3,21.2
"1950_53_Seite_8.txt",0.9,0.5,1.3,98.3,5.8,21.4
"1950_53_Seite_191.txt",0.1,99.3,1.6,7.3,0.7,21.8
"1950_53_Seite_315.txt",2.5,0.3,5.3,100,0.7,21.8
"1950_53_Seite_258.txt",0.1,0.2,10,99.9,1.4,22.3
"1950_53_Seite_4.txt",0.6,0.5,9.9,100,0.7,22.3
"1950_53_Seite_25.txt",2.2,0.5,2.2,100,7.3,22.4
"1950_53_Seite_9.txt",10.4,0.3,2.4,99,0.7,22.5
"1950_53_Seite_123.txt",0.1,99.8,12.9,0.1,0.8,22.7
"1950_53_Seite_171.txt",1.4,1.4,9.8,100,0.6,22.7
"1950_53_Seite_7.txt",1.1,0.9,1.7,99.4,11.5,22.9
"1950_53_Seite_158.txt",0.1,0.2,93,7.1,14.5,23
"1950_53_Seite_3.txt",16.3,0.2,71.1,0.7,31.3,23.9
