Dateiname,Dateigröße,Datum,LRH,Nicht-LRH,Schlussfolgerung,Model
6612C13 – SHSBC-447 – Scientology – Definitions 3.txt,59555,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6711C18-SO – WWEO – A Talk to Saint Hill and WW Ethics Officers.txt,23277,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6612C06 – SHSBC-446 – Scientology – Definitions 2.txt,59790,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6611C01 – SHSBC-444 – Government and Organization.txt,66181,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6608C16 – SHSBC-438 – Releases and Clears.txt,61602,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6609C01 – SHSBC-442 – Gradients and ARC.txt,58925,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6611C29 – SHSBC-445 – Scientology – Definitions 1 – OT and Clear Defined.txt,60831,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6210C03A – SHSBC-222 – TV-Demo-15B Prepchecking a Goal (part 2).txt,23976,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6905C29-SO – Spec-1 – the Dianetic Program.txt,29785,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6811CXX – Rons Journal 68.txt,33631,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6608C25 – SHSBC-441 – The Antisocial Personality.txt,63560,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6608C23 – SHSBC-440 – Organization.txt,68171,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6709C20 – Special – Rons Journal 67.txt,27885,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6609C08 – SHSBC-443 – States of Identity.txt,60949,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
6608C18 – SHSBC-439 – Study and Intention.txt,52654,17-10-24 13:48,1.0000,0.0000,Wahrscheinlich LRH,roberta-large
