Dateiname,Dateigröße,Datum,albert-base-v2,deberta-base,distilbert-base-uncased,roberta-base,roberta-large,Mittelwert
"58XXXX — HCO Training Bulletin — Correction Sheet on TRs and Processes for HCO Training Bulletin of June 11, 1957  [B021-031].txt",3239,17-10-24 14:51,0,3,0,0,0,0
59XXXX — HCO Bulletin — Page 2 Only  [B023-232].txt,381,17-10-24 14:52,0,0,2,0,0,0
59XXXX — HCO Bulletin — Page 2 Only  [B023-249].txt,1838,17-10-24 14:51,22,98,4,66,99,57
63XXXX — HCO Bulletin — Inquisitive TR  [B039-016].txt,1863,17-10-24 14:52,0,0,1,0,20,4
63XXXX — HCO Bulletin — Page 3 Only  [B039-066].txt,3635,17-10-24 14:52,99,99,99,83,100,96
"80XXXX — HCO Bulletin Attachment — Purification Rundown, The  [B104-001].txt",3019,17-10-24 14:51,0,19,1,0,0,4
5304XX — HCO Bulletin — Admiration Processing  [B017-015].txt,2641,17-10-24 14:51,99,93,12,1,99,60
6307XX — HCO Bulletin — Training Technology - Coaching Theory Material  [B117-001].txt,5768,17-10-24 14:51,0,1,0,0,2,0
540503 — HCO Bulletin — Viewpoint Straightwire  [B033-004].txt,3385,17-10-24 14:52,0,5,1,0,0,1
551108 — HCO Bulletin — Six Levels of Processing - Issue 5  [B019-002].txt,6164,17-10-24 14:52,0,0,0,0,0,0
551108 — HCO Bulletin — Six Levels of Processing - Issue 5  [B033-006].txt,6161,17-10-24 14:51,0,0,0,0,0,0
560103 — HCO Bulletin — Six Levels of Processing - Issue 7  [B020-005].txt,8439,17-10-24 14:52,0,0,0,0,0,0
560103 — HCO Bulletin — Six Levels of Processing - Issue 7  [B033-007].txt,8355,17-10-24 14:51,0,0,0,0,0,0
560803 — HCO Bulletin — Mail Line  [B020-009].txt,1082,17-10-24 14:52,1,0,10,0,3,2
560803 — HCO Bulletin — Mail Line  [B033-011].txt,1080,17-10-24 14:52,2,0,8,0,70,16
560803 — HCO Bulletin — Organizational Health Chart  [B009-168].txt,5114,17-10-24 14:51,0,68,1,16,47,26
560803 — HCO Bulletin — Organizational Health Chart  [B033-012].txt,5064,17-10-24 14:51,90,1,1,34,99,45
560803 — HCO Bulletin — Organizational Health Chart  [B042-158].txt,5094,17-10-24 14:51,1,0,1,38,22,12
560820 — HCO Bulletin — HGC Procedure of Aug 20  [B020-012].txt,4902,17-10-24 14:52,0,0,1,0,0,0
560820 — HCO Bulletin — HGC Procedure of Aug 20  [B033-014].txt,4753,17-10-24 14:52,0,0,0,0,0,0
"560912 — HCO Technical Bulletin — Summary of a Bulletin from the Academy in Washington, DC, Concerning Training, The  [B020-016].txt",19789,17-10-24 14:52,0,0,1,92,67,32
"560912 — HCO Technical Bulletin — Summary of a Bulletin from the Academy in Washington, DC, Concerning Training, The  [B033-017].txt",19747,17-10-24 14:52,0,0,1,59,78,27
560920 — HCO Processing Sheet — HCO Processing Sheet  [B020-017].txt,13345,17-10-24 14:51,0,0,1,19,99,23
560920 — HCO Processing Sheet — HCO Processing Sheet  [B033-018].txt,13352,17-10-24 14:51,0,0,1,14,99,22
560926 — HCO Bulletin — Flow Line for Personnel  [B020-019].txt,797,17-10-24 14:51,0,0,1,0,0,0
560926 — HCO Bulletin — Flow Line for Personnel  [B033-019].txt,803,17-10-24 14:52,0,0,1,0,0,0
560926 — HCO Bulletin — Registrar  [B020-018].txt,550,17-10-24 14:51,0,0,3,0,26,5
560926 — HCO Bulletin — Registrar  [B033-020].txt,546,17-10-24 14:52,2,0,6,2,50,12
"561004 — HCO Bulletin — Handling of Hubbard Communications Offices, The  [B020-021].txt",17936,17-10-24 14:51,22,83,2,0,99,41
"561004 — HCO Bulletin — Handling of Hubbard Communications Offices, The  [B020-022].txt",15748,17-10-24 14:51,0,0,1,0,27,5
"561004 — HCO Bulletin — Handling of Hubbard Communications Offices, The  [B022-007].txt",3160,17-10-24 14:52,0,97,1,0,34,26
