Dateiname,Dateigröße,Datum,LRH,Nicht-LRH,Schlussfolgerung,Model
600129 — HCO Bulletin — Congresses  [B036-023].txt,604,17-10-24 14:45,0.9990,0.0010,Wahrscheinlich LRH,roberta-large
"730612 Issue 1 — HCO Bulletin — Tools of Cramming, The  [B051-047].txt",9114,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
800911 — HCO Bulletin — L4BRA Words List  [B082-005].txt,2658,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
740318R — HCO Bulletin — E-Meters - Sensitivity Errors  [B173-003].txt,3235,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
"780711 — HCO Bulletin — Preassessment List, The  [B074-013].txt",1372,17-10-24 14:45,0.9596,0.0404,Wahrscheinlich LRH,roberta-large
721115 Issue 2 — HCO Bulletin — Students Who Succeed  [B012-192].txt,5681,17-10-24 14:45,0.0331,0.9669,Wahrscheinlich Nicht-LRH,roberta-large
630901 — HCO Bulletin — Routine 3SC  [B137-004].txt,10571,17-10-24 14:45,0.9992,0.0008,Wahrscheinlich LRH,roberta-large
650125 — HCO Bulletin — Definition of ''Terminal''  [B168-013].txt,4646,17-10-24 14:45,0.0003,0.9997,Wahrscheinlich Nicht-LRH,roberta-large
"611102 — HCO Bulletin — Prior Confusion, The  [B001-094].txt",1703,17-10-24 14:45,0.9999,0.0001,Wahrscheinlich LRH,roberta-large
730104 — HCO Bulletin — Confront  [B097-001].txt,1942,17-10-24 14:45,0.0027,0.9973,Wahrscheinlich Nicht-LRH,roberta-large
670630 — HCO Bulletin — Evidences of an Aberrated Area  [B041-028].txt,2136,17-10-24 14:45,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-large
"620923 — HCO Bulletin — 40-Line List on a Doingness Goal, A  [B160-027].txt",3044,17-10-24 14:45,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-large
690312 Issue 2 — HCO Bulletin — Physically Ill PCs and Pre-OTs  [B042-014].txt,16004,17-10-24 14:45,0.0003,0.9997,Wahrscheinlich Nicht-LRH,roberta-large
720402 Issue 2RB — HCO Bulletin — L3 EXD RB - Expanded Dianetics Repair List  [B014-015].txt,8050,17-10-24 14:45,0.0001,0.9999,Wahrscheinlich Nicht-LRH,roberta-large
711009 Issue 5 — HCO Bulletin — Drills Course for Auditors - Level III Drills  [B011-192].txt,40999,17-10-24 14:45,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-large
640121 — HCO Bulletin — Meter Level Warning - How to Kill a PC in Level V  [B118-001].txt,1248,17-10-24 14:45,0.0015,0.9985,Wahrscheinlich Nicht-LRH,roberta-large
