Dateiname,Dateigröße,Datum,LRH,Nicht-LRH,Schlussfolgerung,Model
6612C13 – SHSBC-447 – Scientology – Definitions 3.txt,59555,17-10-24 10:50,0.9987,0.0013,Wahrscheinlich LRH,distilbert-base-uncased
6711C18-SO – WWEO – A Talk to Saint Hill and WW Ethics Officers.txt,23277,17-10-24 10:50,0.9988,0.0012,Wahrscheinlich LRH,distilbert-base-uncased
6612C06 – SHSBC-446 – Scientology – Definitions 2.txt,59790,17-10-24 10:50,0.9988,0.0012,Wahrscheinlich LRH,distilbert-base-uncased
6611C01 – SHSBC-444 – Government and Organization.txt,66181,17-10-24 10:50,0.9989,0.0011,Wahrscheinlich LRH,distilbert-base-uncased
6608C16 – SHSBC-438 – Releases and Clears.txt,61602,17-10-24 10:50,0.9988,0.0012,Wahrscheinlich LRH,distilbert-base-uncased
6609C01 – SHSBC-442 – Gradients and ARC.txt,58925,17-10-24 10:50,0.9885,0.0115,Wahrscheinlich LRH,distilbert-base-uncased
6611C29 – SHSBC-445 – Scientology – Definitions 1 – OT and Clear Defined.txt,60831,17-10-24 10:50,0.9988,0.0012,Wahrscheinlich LRH,distilbert-base-uncased
6210C03A – SHSBC-222 – TV-Demo-15B Prepchecking a Goal (part 2).txt,23976,17-10-24 10:50,0.9981,0.0019,Wahrscheinlich LRH,distilbert-base-uncased
6905C29-SO – Spec-1 – the Dianetic Program.txt,29785,17-10-24 10:50,0.9979,0.0021,Wahrscheinlich LRH,distilbert-base-uncased
6811CXX – Rons Journal 68.txt,33631,17-10-24 10:50,0.9985,0.0015,Wahrscheinlich LRH,distilbert-base-uncased
6608C25 – SHSBC-441 – The Antisocial Personality.txt,63560,17-10-24 10:50,0.9988,0.0012,Wahrscheinlich LRH,distilbert-base-uncased
6608C23 – SHSBC-440 – Organization.txt,68171,17-10-24 10:50,0.9988,0.0012,Wahrscheinlich LRH,distilbert-base-uncased
6709C20 – Special – Rons Journal 67.txt,27885,17-10-24 10:50,0.9987,0.0013,Wahrscheinlich LRH,distilbert-base-uncased
6609C08 – SHSBC-443 – States of Identity.txt,60949,17-10-24 10:50,0.9988,0.0012,Wahrscheinlich LRH,distilbert-base-uncased
6608C18 – SHSBC-439 – Study and Intention.txt,52654,17-10-24 10:50,0.9988,0.0012,Wahrscheinlich LRH,distilbert-base-uncased
