Dateiname,Dateigröße,Datum,LRH,Nicht-LRH,Schlussfolgerung,Model
600129 — HCO Bulletin — Congresses  [B036-023].txt,604,16-10-24 22:02,0.3205,0.6795,Wahrscheinlich Nicht-LRH,roberta-base
"730612 Issue 1 — HCO Bulletin — Tools of Cramming, The  [B051-047].txt",9114,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
800911 — HCO Bulletin — L4BRA Words List  [B082-005].txt,2658,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
740318R — HCO Bulletin — E-Meters - Sensitivity Errors  [B173-003].txt,3235,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
"780711 — HCO Bulletin — Preassessment List, The  [B074-013].txt",1372,16-10-24 22:02,0.0094,0.9906,Wahrscheinlich Nicht-LRH,roberta-base
721115 Issue 2 — HCO Bulletin — Students Who Succeed  [B012-192].txt,5681,16-10-24 22:02,0.0029,0.9971,Wahrscheinlich Nicht-LRH,roberta-base
630901 — HCO Bulletin — Routine 3SC  [B137-004].txt,10571,16-10-24 22:02,0.0029,0.9971,Wahrscheinlich Nicht-LRH,roberta-base
650125 — HCO Bulletin — Definition of ''Terminal''  [B168-013].txt,4646,16-10-24 22:02,0.0011,0.9989,Wahrscheinlich Nicht-LRH,roberta-base
"611102 — HCO Bulletin — Prior Confusion, The  [B001-094].txt",1703,16-10-24 22:02,0.0062,0.9938,Wahrscheinlich Nicht-LRH,roberta-base
730104 — HCO Bulletin — Confront  [B097-001].txt,1942,16-10-24 22:02,0.0020,0.9980,Wahrscheinlich Nicht-LRH,roberta-base
670630 — HCO Bulletin — Evidences of an Aberrated Area  [B041-028].txt,2136,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
"620923 — HCO Bulletin — 40-Line List on a Doingness Goal, A  [B160-027].txt",3044,16-10-24 22:02,0.0018,0.9982,Wahrscheinlich Nicht-LRH,roberta-base
690312 Issue 2 — HCO Bulletin — Physically Ill PCs and Pre-OTs  [B042-014].txt,16004,16-10-24 22:02,0.0012,0.9988,Wahrscheinlich Nicht-LRH,roberta-base
720402 Issue 2RB — HCO Bulletin — L3 EXD RB - Expanded Dianetics Repair List  [B014-015].txt,8050,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
711009 Issue 5 — HCO Bulletin — Drills Course for Auditors - Level III Drills  [B011-192].txt,40999,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
640121 — HCO Bulletin — Meter Level Warning - How to Kill a PC in Level V  [B118-001].txt,1248,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
711009 Issue 2 — HCO Bulletin — Drills Course for Auditors - Level 0 Drills  [B011-189].txt,35365,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
570902 — HCO Bulletin — 'When a verbal direction is given...'  [B021-057].txt,598,16-10-24 22:02,0.0022,0.9978,Wahrscheinlich Nicht-LRH,roberta-base
800214R — HCO Bulletin — Research Data on Nutritional Vitamin Increases on the Purification Rundown  [B056-004].txt,14539,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
810729 Issue 1 — HCO Bulletin Attachment — Full Assist Checklists for Injuries and Illnesses - Attachment 1  [B165-008].txt,3936,16-10-24 22:02,0.0006,0.9994,Wahrscheinlich Nicht-LRH,roberta-base
"581103 — HCO Bulletin — American College of Personnel Efficiency, Dublin  [B034-079].txt",561,16-10-24 22:02,0.0018,0.9982,Wahrscheinlich Nicht-LRH,roberta-base
590718 — HCO Bulletin — Technically Speaking  [B113-009].txt,808,16-10-24 22:02,0.9127,0.0873,Wahrscheinlich LRH,roberta-base
590313 — HCO Bulletin — Muzzled Auditing  [B035-029].txt,568,16-10-24 22:02,0.0018,0.9982,Wahrscheinlich Nicht-LRH,roberta-base
630814 — HCO Bulletin — Lecture Graphs  [B153-042].txt,596,16-10-24 22:02,0.0025,0.9975,Wahrscheinlich Nicht-LRH,roberta-base
"591020 — HCO Bulletin — Experimental Process, An  [B071-036].txt",2459,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
700126 — HCO Bulletin — Examiner and Floating Needle  [B043-010].txt,1643,16-10-24 22:02,0.0050,0.9950,Wahrscheinlich Nicht-LRH,roberta-base
560803 — HCO Bulletin — Organizational Health Chart  [B042-158].txt,5094,16-10-24 22:02,0.3867,0.6133,Wahrscheinlich Nicht-LRH,roberta-base
690716 — HCO Bulletin — Urgent - Important - 'I have made a breakthrough in auditor training...'  [B009-124].txt,3682,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
710113 — HCO Bulletin — Exteriorization  [B044-008].txt,3733,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
"780924 Issue 1RB — HCO Bulletin — End of Endless Int Repair Rundown, The  [B102-020].txt",22860,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B139-039].txt,555,16-10-24 22:02,0.0734,0.9266,Wahrscheinlich Nicht-LRH,roberta-base
631002 — HCO Bulletin — GPMs - Experimental Process Withdrawn  [B039-056].txt,758,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
690710 Issue 3 — HCO Bulletin — Former Therapies and Earlier Practices  [B042-106].txt,643,16-10-24 22:02,0.0007,0.9993,Wahrscheinlich Nicht-LRH,roberta-base
600316 — HCO Bulletin — ACC Arrangements  [B027-021].txt,546,16-10-24 22:02,0.0032,0.9968,Wahrscheinlich Nicht-LRH,roberta-base
580528 — HCO Bulletin — Procedure for Certifying Clears  [B034-039].txt,1233,16-10-24 22:02,0.0009,0.9991,Wahrscheinlich Nicht-LRH,roberta-base
780805 — HCO Bulletin — Instant Reads  [B169-007].txt,1201,16-10-24 22:02,0.0503,0.9497,Wahrscheinlich Nicht-LRH,roberta-base
"630304 — HCO Bulletin — Routine 2-10, 2-12, 2-12A  [B039-005].txt",1685,16-10-24 22:02,0.0004,0.9996,Wahrscheinlich Nicht-LRH,roberta-base
720430 Issue 1 — HCO Bulletin — Expanded Dianetics Series 6  [B049-034].txt,1680,16-10-24 22:02,0.0008,0.9992,Wahrscheinlich Nicht-LRH,roberta-base
690424 Issue 2 — HCO Bulletin — Dianetic Results  [B009-047].txt,2486,16-10-24 22:02,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-base
711201 Issue 3 — HCO Bulletin — Rising Scale Processing  [B011-248].txt,2190,16-10-24 22:02,0.0005,0.9995,Wahrscheinlich Nicht-LRH,roberta-base
641101 — HCO Bulletin — More Clay Table Clearing Goofs  [B066-016].txt,6257,16-10-24 22:02,0.0013,0.9987,Wahrscheinlich Nicht-LRH,roberta-base
600706 — HCO Bulletin — Calling All Auditors about Help  [B140-011].txt,3261,16-10-24 22:02,0.0020,0.9980,Wahrscheinlich Nicht-LRH,roberta-base
