Filename,r-base,ms-deberta,distilb,r-large,albert,Mittelwert
600129 — HCO Bulletin — Congresses  [B036-023].txt,32.0,0.2,5.1,99.9,1.0,27.7
"730612 Issue 1 — HCO Bulletin — Tools of Cramming, The  [B051-047].txt",0.0,0.5,1.0,0.0,0.4,0.4
800911 — HCO Bulletin — L4BRA Words List  [B082-005].txt,0.1,0.2,1.1,0.0,0.4,0.4
740318R — HCO Bulletin — E-Meters - Sensitivity Errors  [B173-003].txt,0.0,0.2,1.0,0.0,0.4,0.3
"780711 — HCO Bulletin — Preassessment List, The  [B074-013].txt",0.9,0.2,5.7,96.0,0.5,20.7
721115 Issue 2 — HCO Bulletin — Students Who Succeed  [B012-192].txt,0.3,0.3,1.0,3.3,0.4,1.1
630901 — HCO Bulletin — Routine 3SC  [B137-004].txt,0.3,3.1,2.8,99.9,0.6,21.3
650125 — HCO Bulletin — Definition of ''Terminal''  [B168-013].txt,0.1,0.2,1.2,0.0,0.4,0.4
"611102 — HCO Bulletin — Prior Confusion, The  [B001-094].txt",0.6,0.2,2.0,100.0,0.6,20.7
730104 — HCO Bulletin — Confront  [B097-001].txt,0.2,0.2,2.2,0.3,0.9,0.7
670630 — HCO Bulletin — Evidences of an Aberrated Area  [B041-028].txt,0.1,0.3,1.0,0.1,0.4,0.4
"620923 — HCO Bulletin — 40-Line List on a Doingness Goal, A  [B160-027].txt",0.2,0.2,1.1,0.0,1.4,0.6
690312 Issue 2 — HCO Bulletin — Physically Ill PCs and Pre-OTs  [B042-014].txt,0.1,0.2,0.9,0.0,0.4,0.3
720402 Issue 2RB — HCO Bulletin — L3 EXD RB - Expanded Dianetics Repair List  [B014-015].txt,0.0,0.2,1.0,0.0,0.3,0.3
711009 Issue 5 — HCO Bulletin — Drills Course for Auditors - Level III Drills  [B011-192].txt,0.1,0.3,0.9,0.1,0.3,0.3
640121 — HCO Bulletin — Meter Level Warning - How to Kill a PC in Level V  [B118-001].txt,0.0,0.2,1.9,0.1,0.4,0.5
711009 Issue 2 — HCO Bulletin — Drills Course for Auditors - Level 0 Drills  [B011-189].txt,0.1,0.2,0.9,0.1,0.4,0.3
570902 — HCO Bulletin — 'When a verbal direction is given...'  [B021-057].txt,0.2,0.2,6.5,0.8,2.3,2.0
800214R — HCO Bulletin — Research Data on Nutritional Vitamin Increases on the Purification Rundown  [B056-004].txt,0.1,0.2,1.3,0.0,0.4,0.4
810729 Issue 1 — HCO Bulletin Attachment — Full Assist Checklists for Injuries and Illnesses - Attachment 1  [B165-008].txt,0.1,0.2,1.0,0.0,0.9,0.4
"581103 — HCO Bulletin — American College of Personnel Efficiency, Dublin  [B034-079].txt",0.2,0.2,5.9,2.4,2.8,2.3
590718 — HCO Bulletin — Technically Speaking  [B113-009].txt,91.3,0.2,82.3,100.0,9.3,56.6
590313 — HCO Bulletin — Muzzled Auditing  [B035-029].txt,0.2,0.2,11.2,0.7,0.5,2.5
630814 — HCO Bulletin — Lecture Graphs  [B153-042].txt,0.2,0.2,20.8,98.2,1.4,24.2
"591020 — HCO Bulletin — Experimental Process, An  [B071-036].txt",0.1,0.3,0.9,0.8,0.4,0.5
700126 — HCO Bulletin — Examiner and Floating Needle  [B043-010].txt,0.5,0.3,1.7,99.5,0.6,20.5
560803 — HCO Bulletin — Organizational Health Chart  [B042-158].txt,38.7,0.7,1.2,22.2,1.1,12.8
690716 — HCO Bulletin — Urgent - Important - 'I have made a breakthrough in auditor training...'  [B009-124].txt,0.1,0.2,1.0,1.4,0.6,0.7
710113 — HCO Bulletin — Exteriorization  [B044-008].txt,0.0,0.2,1.0,0.0,0.3,0.3
"780924 Issue 1RB — HCO Bulletin — End of Endless Int Repair Rundown, The  [B102-020].txt",0.0,0.2,1.5,0.0,0.4,0.4
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B139-039].txt,7.3,0.2,24.6,100.0,3.7,27.2
631002 — HCO Bulletin — GPMs - Experimental Process Withdrawn  [B039-056].txt,0.0,0.2,1.7,0.6,0.6,0.6
690710 Issue 3 — HCO Bulletin — Former Therapies and Earlier Practices  [B042-106].txt,0.1,0.2,4.8,0.9,0.4,1.3
600316 — HCO Bulletin — ACC Arrangements  [B027-021].txt,0.3,0.2,4.4,100.0,1.5,21.3
580528 — HCO Bulletin — Procedure for Certifying Clears  [B034-039].txt,0.1,0.2,3.0,1.0,2.0,1.3
780805 — HCO Bulletin — Instant Reads  [B169-007].txt,5.0,0.2,12.7,22.6,0.7,8.2
"630304 — HCO Bulletin — Routine 2-10, 2-12, 2-12A  [B039-005].txt",0.0,0.2,1.2,0.0,0.5,0.4
720430 Issue 1 — HCO Bulletin — Expanded Dianetics Series 6  [B049-034].txt,0.1,0.2,1.4,0.0,1.0,0.6
690424 Issue 2 — HCO Bulletin — Dianetic Results  [B009-047].txt,0.1,0.6,1.1,30.9,0.8,6.7
711201 Issue 3 — HCO Bulletin — Rising Scale Processing  [B011-248].txt,0.1,0.2,0.9,0.0,0.4,0.3
641101 — HCO Bulletin — More Clay Table Clearing Goofs  [B066-016].txt,0.1,0.2,1.2,100.0,0.3,20.4
600706 — HCO Bulletin — Calling All Auditors about Help  [B140-011].txt,0.2,0.4,1.3,0.6,1.2,0.7
610608 — HCO Bulletin — E-Meter Watching - Are You Waiting for the Meter to Play Dixie  [B001-054].txt,0.1,4.1,1.0,0.3,0.4,1.2
600312 — HCO Bulletin — Appreciation  [B027-022].txt,24.8,0.2,4.9,99.7,0.6,26.0
700119 — HCO Bulletin — Registrar's Advice Form  [B043-004].txt,0.1,1.1,1.2,0.1,0.6,0.6
720204 — HCO Bulletin — Study Correction List Revised  [B048-035].txt,0.0,0.2,1.0,0.0,0.4,0.3
820310 — HCO Bulletin — Confessionals - Ethics Reports Required  [B064-008].txt,0.1,0.2,1.2,0.0,0.5,0.4
600206 — HCO Bulletin — Effect Scale  [B141-010].txt,1.5,0.2,1.4,4.6,0.6,1.7
710319 — HCO Bulletin — CSing Auditor - CSes  [B078-029].txt,0.0,0.2,1.0,0.0,0.4,0.3
700710 Issue 2 — HCO Bulletin — Interiorization Intensive Goof  [B010-075].txt,0.1,0.2,1.0,0.0,0.4,0.3
581126 — HCO Bulletin — ACCs  [B022-084].txt,0.1,0.2,3.5,0.0,0.6,0.9
"620521 — HCO Bulletin — Missed Withholds, Asking About  [B002-027].txt",0.1,0.2,2.1,41.7,0.9,9.0
640707 — HCO Bulletin — Justifications  [B040-018].txt,0.1,0.3,1.2,0.0,0.5,0.4
590811 — HCO Bulletin — Cost of Supplies  [B035-094].txt,0.1,0.2,1.4,0.6,0.7,0.6
710308 — HCO Bulletin — Examiner's Form  [B012-178].txt,0.1,3.1,1.2,0.1,0.6,1.0
821013 — HCO Bulletin — Ethics and the CS  [B057-016].txt,0.1,0.2,1.0,0.0,0.4,0.4
561109 — HCO Bulletin — Activities of Legal Department  [B020-027].txt,0.1,0.2,1.4,0.1,0.6,0.5
700714 Issue 2 — HCO Bulletin — Additional Data on Erasing-Solid  [B010-076].txt,0.1,0.2,3.3,2.6,0.5,1.4
690902 — HCO Bulletin — Dianetics - The E-Meter Defined  [B093-026].txt,99.2,0.2,63.1,100.0,0.8,52.7
"710523 Issue 02R — HCO Bulletin — Two Parts of Auditing, The  [B052-074].txt",0.1,0.3,1.0,1.8,0.5,0.7
"590921 — HCO Bulletin — Idea for Promotion, An  [B084-007].txt",0.2,0.2,1.1,42.8,0.4,8.9
700327 Issue 2 — HCO Bulletin — Green Form  [B043-026].txt,0.1,0.2,2.4,0.2,0.5,0.7
720616R — HCO Bulletin — Auditor's Rights Modified  [B131-004].txt,0.0,0.2,0.9,0.0,0.3,0.3
"720603 — HCO Bulletin — PTS Rundown, Final Step  [B049-051].txt",0.0,0.2,1.0,0.0,0.4,0.3
720430 Issue 1 — HCO Bulletin — Expanded Dianetics Series 6  [B012-097].txt,0.1,0.2,1.7,0.0,0.6,0.5
801105 — HCO Bulletin — Returning Tours Confessional  [B059-031].txt,0.1,0.2,1.1,0.0,0.4,0.4
720720 Issue 2 — HCO Bulletin — Distractive and Additive Questions and Orders  [B050-003].txt,0.1,0.2,1.2,0.0,0.6,0.4
580502 — HCO Bulletin — Beingness Again  [B022-045].txt,97.9,9.7,1.6,100.0,27.6,47.4
691005 — HCO Bulletin — Triple Flows  [B042-142].txt,0.1,0.2,1.1,0.0,0.3,0.3
651105 — HCO Bulletin — Five-Way Bracket on Help  [B005-040].txt,14.1,0.2,72.3,94.9,1.4,36.6
781205 — HCO Bulletin — Dianetic Clear Attests - Additional Data  [B102-036].txt,0.0,0.3,1.0,0.0,0.3,0.3
600422 — HCO Bulletin — Flattening Terminals  [B027-037].txt,0.1,0.2,1.1,0.0,0.4,0.4
650124 — HCO Bulletin — Scientology VI - R6EW  [B168-054].txt,0.1,0.2,1.0,0.0,0.4,0.3
740831R — HCO Bulletin — New Grade Chart  [B098-014].txt,0.0,0.2,0.9,0.0,0.4,0.3
620503 — HCO Bulletin — ARC Breaks - Missed Withholds  [B038-019].txt,0.1,0.3,1.0,0.0,0.4,0.4
820928 — HCO Bulletin — Mixing Rundowns and Repairs  [B064-028].txt,0.1,0.2,1.0,0.0,0.3,0.3
580820 — HCO Bulletin — Out of Sessionness  [B128-005].txt,0.1,0.3,1.0,1.3,0.7,0.7
641017 Issue 3 — HCO Bulletin — Clearing - Why It Works - How It Is Necessary  [B030-021].txt,0.1,0.2,0.9,0.0,0.3,0.3
581217 — HCO Bulletin — Basic Postulate of Overt Act - Motivator Sequence  [B022-092].txt,0.2,0.3,10.7,21.1,15.0,9.5
780323RA — HCO Bulletin — Clearing Words  [B102-002].txt,0.1,0.3,1.1,0.6,0.4,0.5
600706 — HCO Bulletin — Making Clears and Picking Up HGC Quality  [B036-110].txt,0.0,0.3,1.1,0.0,0.4,0.3
690722 Issue 2 — HCO Bulletin — Unflat Chain  [B042-118].txt,0.1,0.2,1.7,0.1,0.5,0.5
700501 — HCO Bulletin — No-Picture Remedy  [B043-037].txt,0.0,0.2,1.7,0.0,0.5,0.5
