Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
"800112 — HCO Bulletin — Page, Last Only  [B104-004].txt",0.00%,0.00%,64,Geeignet,0,0,380
"651116 Issue 2 — HCO Bulletin — Commands for Upper Indoctrination - TR 6, TR 7, TR 9  [B067-019].txt",0.00%,0.00%,94,Geeignet,0,0,557
"850502 — HCO Bulletin — Responsibility, Definition Of  [B057-073].txt",0.00%,0.00%,75,Geeignet,0,0,488
610123 — HCO Bulletin — Addition to Script of a Model Session  [B028-004].txt,0.00%,2.00%,100,Geeignet,0,2,617
820217 — HCO Bulletin — Prejudice  [B165-045].txt,0.00%,0.00%,52,Geeignet,0,0,359
XXXXXX — HCO Bulletin Attachment — Folder Summary Form  [B012-171].txt,0.00%,0.00%,6,Geeignet,0,0,33
"820825 — HCO Bulletin — Joy of Creating, The  [B064-026].txt",0.00%,1.16%,86,Geeignet,0,1,518
800502 Issue 2 — HCO Bulletin Attachment — Survival RD - Daily Report  [B058-038].txt,0.00%,0.00%,62,Geeignet,0,0,413
680109 — HCO Bulletin — Money Process  [B008-003].txt,0.00%,1.25%,80,Geeignet,0,1,470
XXXXXX — HCO Bulletin Attachment — 'This HCOB is corrected in the 5th paragraph...'  [B165-017].txt,0.00%,0.00%,17,Geeignet,0,0,99
721212 — HCO Bulletin — Rudiments  [B050-082].txt,0.00%,2.78%,108,Geeignet,0,3,642
680805 — HCO Bulletin — Change of Commands - Overt-Motivator Sequence  [B158-006].txt,0.00%,0.93%,214,Geeignet,0,2,1183
XXXXXX — HCO Bulletin Attachment — Folder Summary Form  [B050-046].txt,0.00%,0.00%,5,Geeignet,0,0,31
"690507 Issue 4 — HCO Bulletin — Five GAEs, The  [B042-052].txt",0.00%,0.79%,126,Geeignet,0,1,740
630705 — HCO Bulletin — Routine R3R - Engram Running by Chains - List L3  [B003-036].txt,0.00%,0.38%,261,Geeignet,0,1,1535
700907 — HCO Bulletin — 'Due to the change in orientation and expanded scope of the Hubbard Consultant actions...'  [B043-096].txt,0.00%,2.70%,74,Geeignet,0,2,490
831023 — HCO Bulletin — Sec Checking - Note  [B057-028].txt,0.00%,0.31%,318,Geeignet,0,1,1778
790707 — HCO Bulletin — Crashing Mis-U Definition  [B169-005].txt,0.00%,2.41%,83,Geeignet,0,2,531
720403 Issue 2 — HCO Bulletin — Re - Study Series-5  [B012-065].txt,0.00%,1.41%,71,Geeignet,0,1,441
XXXXXX — Misc Pages — 'Please replace your present issue...'  [B031-008].txt,0.00%,0.00%,10,Geeignet,0,0,71
"680312 — HCO Bulletin — Mistakes, Anatomy Of  [B070-001].txt",0.00%,1.69%,59,Geeignet,0,1,379
"790610 — HCO Bulletin — Professional, A  [B103-017].txt",0.00%,0.00%,358,Geeignet,0,0,2036
831023 — HCO Bulletin — Sec Checking - Note  [B061-057].txt,0.00%,0.31%,318,Geeignet,0,1,1780
820810 — HCO Bulletin — OT Maxims  [B057-012].txt,0.00%,0.00%,337,Geeignet,0,0,1919
"820825 — HCO Bulletin — Joy of Creating, The  [B061-021].txt",0.00%,1.16%,86,Geeignet,0,1,517
790924 — HCO Bulletin Attachment — 'You can mimeo a small form on which to assess...'  [B166-009].txt,0.00%,0.00%,69,Geeignet,0,0,414
610302 — HCO Bulletin — Formula 20  [B028-012].txt,0.00%,0.89%,112,Geeignet,0,1,675
820810 — HCO Bulletin — OT Maxims  [B061-020].txt,0.00%,0.00%,336,Geeignet,0,0,1917
680109 — HCO Bulletin — Money Process  [B041-039].txt,0.00%,1.25%,80,Geeignet,0,1,472
"820506 — HCO Bulletin — Cause of Crime, The  [B061-015].txt",0.00%,0.26%,380,Geeignet,0,1,2250
681014 Issue 2 — HCO Bulletin — Definition of Recall  [B008-070].txt,0.00%,0.83%,121,Geeignet,0,1,750
650819 — HCO Bulletin — Model Session Revised  [B067-012].txt,0.00%,0.00%,185,Geeignet,0,0,1033
660921 — HCO Bulletin — ARC Break Needle  [B006-024].txt,0.00%,0.00%,90,Geeignet,0,0,515
