Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
600129 — HCO Bulletin — Congresses  [B036-023].txt,8.60%,1.08%,93,Ungeeignet,8,1,604
"730612 Issue 1 — HCO Bulletin — Tools of Cramming, The  [B051-047].txt",3.46%,0.97%,1649,Geeignet,57,16,9114
800911 — HCO Bulletin — L4BRA Words List  [B082-005].txt,6.27%,0.48%,415,Ungeeignet,26,2,2658
740318R — HCO Bulletin — E-Meters - Sensitivity Errors  [B173-003].txt,15.84%,1.02%,587,Ungeeignet,93,6,3235
"780711 — HCO Bulletin — Preassessment List, The  [B074-013].txt",8.25%,0.97%,206,Ungeeignet,17,2,1372
721115 Issue 2 — HCO Bulletin — Students Who Succeed  [B012-192].txt,0.62%,0.10%,969,Geeignet,6,1,5681
630901 — HCO Bulletin — Routine 3SC  [B137-004].txt,1.83%,0.05%,1854,Geeignet,34,1,10571
650125 — HCO Bulletin — Definition of ''Terminal''  [B168-013].txt,2.87%,0.00%,801,Geeignet,23,0,4646
"611102 — HCO Bulletin — Prior Confusion, The  [B001-094].txt",2.83%,0.00%,283,Geeignet,8,0,1703
730104 — HCO Bulletin — Confront  [B097-001].txt,4.06%,0.31%,320,Geeignet,13,1,1942
670630 — HCO Bulletin — Evidences of an Aberrated Area  [B041-028].txt,11.01%,2.45%,327,Ungeeignet,36,8,2136
"620923 — HCO Bulletin — 40-Line List on a Doingness Goal, A  [B160-027].txt",2.96%,0.00%,507,Geeignet,15,0,3044
690312 Issue 2 — HCO Bulletin — Physically Ill PCs and Pre-OTs  [B042-014].txt,0.71%,0.14%,2804,Geeignet,20,4,16004
720402 Issue 2RB — HCO Bulletin — L3 EXD RB - Expanded Dianetics Repair List  [B014-015].txt,3.58%,0.57%,1395,Geeignet,50,8,8050
711009 Issue 5 — HCO Bulletin — Drills Course for Auditors - Level III Drills  [B011-192].txt,4.11%,0.42%,7078,Geeignet,291,30,40999
640121 — HCO Bulletin — Meter Level Warning - How to Kill a PC in Level V  [B118-001].txt,4.23%,0.94%,213,Geeignet,9,2,1248
711009 Issue 2 — HCO Bulletin — Drills Course for Auditors - Level 0 Drills  [B011-189].txt,16.20%,2.68%,5481,Ungeeignet,888,147,35365
570902 — HCO Bulletin — 'When a verbal direction is given...'  [B021-057].txt,1.98%,0.00%,101,Geeignet,2,0,598
800214R — HCO Bulletin — Research Data on Nutritional Vitamin Increases on the Purification Rundown  [B056-004].txt,3.46%,0.21%,2369,Geeignet,82,5,14539
810729 Issue 1 — HCO Bulletin Attachment — Full Assist Checklists for Injuries and Illnesses - Attachment 1  [B165-008].txt,20.98%,36.08%,715,Ungeeignet,150,258,3936
"581103 — HCO Bulletin — American College of Personnel Efficiency, Dublin  [B034-079].txt",9.41%,1.18%,85,Ungeeignet,8,1,561
590718 — HCO Bulletin — Technically Speaking  [B113-009].txt,3.91%,0.00%,128,Geeignet,5,0,808
590313 — HCO Bulletin — Muzzled Auditing  [B035-029].txt,11.11%,1.11%,90,Ungeeignet,10,1,568
630814 — HCO Bulletin — Lecture Graphs  [B153-042].txt,20.59%,8.82%,102,Ungeeignet,21,9,596
"591020 — HCO Bulletin — Experimental Process, An  [B071-036].txt",2.24%,0.25%,402,Geeignet,9,1,2459
700126 — HCO Bulletin — Examiner and Floating Needle  [B043-010].txt,4.11%,0.34%,292,Geeignet,12,1,1643
560803 — HCO Bulletin — Organizational Health Chart  [B042-158].txt,7.00%,0.00%,829,Ungeeignet,58,0,5094
690716 — HCO Bulletin — Urgent - Important - 'I have made a breakthrough in auditor training...'  [B009-124].txt,4.27%,0.46%,655,Geeignet,28,3,3682
710113 — HCO Bulletin — Exteriorization  [B044-008].txt,3.30%,0.16%,636,Geeignet,21,1,3733
"780924 Issue 1RB — HCO Bulletin — End of Endless Int Repair Rundown, The  [B102-020].txt",2.51%,0.24%,4145,Geeignet,104,10,22860
600210 Issue 2 — HCO Bulletin — Restoration of Certificates  [B139-039].txt,7.50%,0.00%,80,Ungeeignet,6,0,555
631002 — HCO Bulletin — GPMs - Experimental Process Withdrawn  [B039-056].txt,6.77%,2.26%,133,Ungeeignet,9,3,758
690710 Issue 3 — HCO Bulletin — Former Therapies and Earlier Practices  [B042-106].txt,7.22%,0.00%,97,Ungeeignet,7,0,643
600316 — HCO Bulletin — ACC Arrangements  [B027-021].txt,6.82%,1.14%,88,Ungeeignet,6,1,546
580528 — HCO Bulletin — Procedure for Certifying Clears  [B034-039].txt,2.79%,0.47%,215,Geeignet,6,1,1233
780805 — HCO Bulletin — Instant Reads  [B169-007].txt,1.46%,0.00%,205,Geeignet,3,0,1201
"630304 — HCO Bulletin — Routine 2-10, 2-12, 2-12A  [B039-005].txt",5.44%,1.70%,294,Ungeeignet,16,5,1685
720430 Issue 1 — HCO Bulletin — Expanded Dianetics Series 6  [B049-034].txt,7.69%,0.00%,234,Ungeeignet,18,0,1680
690424 Issue 2 — HCO Bulletin — Dianetic Results  [B009-047].txt,0.99%,0.00%,404,Geeignet,4,0,2486
711201 Issue 3 — HCO Bulletin — Rising Scale Processing  [B011-248].txt,5.29%,0.84%,359,Ungeeignet,19,3,2190
641101 — HCO Bulletin — More Clay Table Clearing Goofs  [B066-016].txt,3.18%,0.45%,1100,Geeignet,35,5,6257
600706 — HCO Bulletin — Calling All Auditors about Help  [B140-011].txt,5.45%,0.18%,550,Ungeeignet,30,1,3261
610608 — HCO Bulletin — E-Meter Watching - Are You Waiting for the Meter to Play Dixie  [B001-054].txt,2.91%,0.08%,1238,Geeignet,36,1,6851
600312 — HCO Bulletin — Appreciation  [B027-022].txt,4.08%,0.00%,98,Geeignet,4,0,601
700119 — HCO Bulletin — Registrar's Advice Form  [B043-004].txt,28.25%,0.90%,223,Ungeeignet,63,2,1563
720204 — HCO Bulletin — Study Correction List Revised  [B048-035].txt,10.20%,1.16%,5277,Ungeeignet,538,61,29910
820310 — HCO Bulletin — Confessionals - Ethics Reports Required  [B064-008].txt,2.39%,0.00%,1003,Geeignet,24,0,5901
600206 — HCO Bulletin — Effect Scale  [B141-010].txt,4.86%,0.71%,1275,Geeignet,62,9,7882
710319 — HCO Bulletin — CSing Auditor - CSes  [B078-029].txt,5.77%,0.17%,1179,Ungeeignet,68,2,6560
700710 Issue 2 — HCO Bulletin — Interiorization Intensive Goof  [B010-075].txt,3.73%,0.00%,483,Geeignet,18,0,2722
581126 — HCO Bulletin — ACCs  [B022-084].txt,4.27%,0.00%,117,Geeignet,5,0,665
"620521 — HCO Bulletin — Missed Withholds, Asking About  [B002-027].txt",4.93%,0.00%,142,Geeignet,7,0,872
640707 — HCO Bulletin — Justifications  [B040-018].txt,4.83%,0.57%,352,Geeignet,17,2,2004
590811 — HCO Bulletin — Cost of Supplies  [B035-094].txt,11.74%,1.58%,443,Ungeeignet,52,7,2633
710308 — HCO Bulletin — Examiner's Form  [B012-178].txt,12.89%,0.44%,225,Ungeeignet,29,1,1550
821013 — HCO Bulletin — Ethics and the CS  [B057-016].txt,2.42%,0.14%,1445,Geeignet,35,2,7939
561109 — HCO Bulletin — Activities of Legal Department  [B020-027].txt,22.11%,0.00%,95,Ungeeignet,21,0,659
700714 Issue 2 — HCO Bulletin — Additional Data on Erasing-Solid  [B010-076].txt,7.95%,0.00%,88,Ungeeignet,7,0,529
690902 — HCO Bulletin — Dianetics - The E-Meter Defined  [B093-026].txt,4.27%,0.00%,117,Geeignet,5,0,792
"710523 Issue 02R — HCO Bulletin — Two Parts of Auditing, The  [B052-074].txt",4.13%,0.54%,1841,Geeignet,76,10,10232
"590921 — HCO Bulletin — Idea for Promotion, An  [B084-007].txt",3.12%,0.28%,706,Geeignet,22,2,4027
700327 Issue 2 — HCO Bulletin — Green Form  [B043-026].txt,3.67%,0.92%,109,Geeignet,4,1,618
720616R — HCO Bulletin — Auditor's Rights Modified  [B131-004].txt,3.91%,0.81%,614,Geeignet,24,5,3436
"720603 — HCO Bulletin — PTS Rundown, Final Step  [B049-051].txt",6.62%,2.60%,423,Ungeeignet,28,11,2388
720430 Issue 1 — HCO Bulletin — Expanded Dianetics Series 6  [B012-097].txt,2.98%,0.00%,235,Geeignet,7,0,1676
801105 — HCO Bulletin — Returning Tours Confessional  [B059-031].txt,1.70%,0.42%,707,Geeignet,12,3,4417
720720 Issue 2 — HCO Bulletin — Distractive and Additive Questions and Orders  [B050-003].txt,3.95%,0.33%,304,Geeignet,12,1,1813
580502 — HCO Bulletin — Beingness Again  [B022-045].txt,1.62%,0.20%,988,Geeignet,16,2,5517
691005 — HCO Bulletin — Triple Flows  [B042-142].txt,2.52%,0.33%,911,Geeignet,23,3,4746
