"Filename","r-base","ms-deberta","distilb","r-large","albert","Mittelwert"
"1950_53_Seite_1.txt",99.3,0.2,85.7,98.2,16.8,60.1
"1950_53_Seite_10.txt",4.2,0.3,3.5,100,54.1,32.4
"1950_53_Seite_100.txt",100,99.5,99.8,100,100,99.8
"1950_53_Seite_101.txt",100,99.8,99.8,100,100,99.9
"1950_53_Seite_102.txt",100,99.8,99.7,100,100,99.9
"1950_53_Seite_103.txt",100,100,99.8,100,100,99.9
"1950_53_Seite_104.txt",92.9,99.9,71.2,100,100,92.8
"1950_53_Seite_105.txt",100,99.9,99.7,100,100,99.9
"1950_53_Seite_106.txt",100,99.8,99.6,100,100,99.9
"1950_53_Seite_107.txt",100,100,99.7,100,100,99.9
"1950_53_Seite_108.txt",1.8,99.8,27,99.9,100,65.7
"1950_53_Seite_109.txt",98.3,100,99.7,99.2,100,99.4
"1950_53_Seite_11.txt",0.3,0.3,12.6,99.7,50.7,32.7
"1950_53_Seite_110.txt",100,98.7,99.2,100,100,99.6
"1950_53_Seite_111.txt",100,100,99.6,100,100,99.9
"1950_53_Seite_112.txt",100,100,99.7,100,100,99.9
"1950_53_Seite_113.txt",99.9,99.8,99.7,100,100,99.9
"1950_53_Seite_114.txt",99.3,99.9,99.5,100,100,99.7
"1950_53_Seite_115.txt",100,99.8,99.8,100,100,99.9
"1950_53_Seite_116.txt",99.9,99.6,21.2,100,0.6,64.3
"1950_53_Seite_117.txt",99.2,0.2,22.6,100,99.9,64.4
"1950_53_Seite_118.txt",100,100,97.5,100,98.1,99.1
"1950_53_Seite_119.txt",0.8,99.9,90.7,100,99.9,78.3
"1950_53_Seite_12.txt",3.3,0.2,5.4,2.4,5,3.3
"1950_53_Seite_120.txt",42.3,0.3,4.4,100,100,49.4
"1950_53_Seite_121.txt",0.4,98.8,27.4,99.9,17.3,48.8
"1950_53_Seite_122.txt",96.6,0.9,77.2,100,100,74.9
"1950_53_Seite_123.txt",0.1,99.8,12.9,0.1,0.8,22.7
"1950_53_Seite_124.txt",99.9,99.9,98.9,100,100,99.7
"1950_53_Seite_125.txt",99.9,100,99.7,100,100,99.9
"1950_53_Seite_126.txt",100,100,99.6,100,100,99.9
"1950_53_Seite_127.txt",100,100,99.9,100,100,100
"1950_53_Seite_128.txt",100,99.7,99.8,100,100,99.9
"1950_53_Seite_129.txt",82.6,99.8,92.8,100,99.7,95
"1950_53_Seite_13.txt",0.4,0.2,1.7,0.8,21.9,5
"1950_53_Seite_130.txt",99.9,99.5,99.4,100,100,99.8
"1950_53_Seite_131.txt",99.9,99.7,99.8,100,100,99.9
